id,releaseName,releaseDate,numOfCommits
1,1.0.0-incubating,2012-08-06,1070
2,1.0.1-incubating,2012-08-29,27
3,1.0.3-incubating,2012-09-30,29
4,1.0.2-incubating,2012-10-02,2
5,1.0.4,2012-12-10,112
6,1.0.5,2013-01-23,161
7,1.0.6,2013-02-27,242
8,1.0.7,2013-03-26,67
9,1.1.0,2013-04-05,47
10,1.0.8,2013-04-18,57
11,1.1.1,2013-04-29,48
12,1.1.2,2013-06-11,97
13,1.1.3,2013-07-12,42
14,1.1.4,2013-09-27,93
15,1.1.5,2013-11-28,111
16,1.1.6,2014-02-22,111
17,1.0.9,2014-04-11,48
18,1.1.7,2014-04-11,7
19,1.1.8,2014-07-03,168
20,1.2.0-M1,2014-09-08,150
21,1.2.0,2014-10-03,77
22,1.2.1,2014-11-17,183
23,1.2.2,2015-01-30,196
24,1.2.3,2015-03-20,160
25,1.2.4,2015-05-05,91
26,1.2.5,2015-07-28,144
27,1.2.6,2015-11-05,294
28,2.0.0-M1,2015-12-23,224
29,1.2.7,2016-01-15,50
30,2.0.0-M2,2016-03-21,217
31,1.2.8,2016-06-03,185
32,2.0.0-M3,2016-06-03,5
33,2.0.0-M4,2016-06-24,79
34,2.0.0.M5,2016-09-02,207
35,2.0.0,2016-09-09,60
36,1.2.9,2016-10-07,72
37,2.0.1,2016-10-21,22
38,1.2.10,2017-01-24,130
39,2.0.2,2017-01-27,15
40,2.0.3,2017-04-15,159
41,2.0.4,2017-07-03,205
42,2.0.5,2017-09-06,171
43,2.0.6,2017-10-09,61
44,2.0.7,2017-12-22,141
45,1.2.11,2018-03-13,110
46,2.0.8,2018-03-13,0
47,2.0.9,2018-06-28,203
48,2.1.0,2018-07-05,24
49,2.0.10,2018-08-17,88
50,2.1.1,2018-08-17,1
51,2.0.11,2018-11-02,133
52,2.1.2,2018-11-02,5
53,2.0.12,2019-01-17,141
54,2.1.3,2019-01-17,2
55,2.0.13,2019-04-19,153
56,2.1.4,2019-04-19,1
57,2.0.14,2019-09-12,140
58,2.1.5,2019-09-12,1
59,2.0.15,2020-04-29,430
60,2.1.6,2020-04-29,0
61,2.0.16,2020-09-11,170
62,2.1.7,2020-09-11,0
63,2.1.8,2020-12-18,109
64,2.1.9,2021-04-07,121
65,2.1.10,2021-10-08,167
66,2.1.11,2022-03-18,138
67,2.1.12,2022-08-05,139
68,3.0.0-M0,2022-08-05,7
69,3.0.0-M1,2022-10-14,63
70,3.0.0-M2,2022-10-27,18
71,3.0.0,2022-11-11,25
72,2.1.13,2022-12-09,29
73,3.0.1,2023-01-13,31
74,3.0.2,2023-02-17,35
75,2.1.14,2023-05-05,108
76,3.0.3,2023-05-05,2
77,3.0.4,2023-07-07,70
78,3.0.5,2023-09-29,62
79,3.0.6,2023-12-22,101
80,3.0.7,2024-05-20,136
81,3.0.8,2024-07-19,70
82,3.0.9,2024-10-21,70
83,3.0.10,2024-12-27,85
84,4.0.0-M0,2024-12-27,7
85,3.0.11,2025-03-07,92
86,4.0.0-M1,2025-03-07,13
