Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
BOOKKEEPER,1,RandomForest,none,none,none,0.273,0.018,0.562,0.013,0.034
BOOKKEEPER,1,NaiveBayes,none,none,none,0.298,0.181,0.596,0.110,0.225
BOOKKEEPER,1,IBk,none,none,none,0.230,0.061,0.522,0.027,0.097
BOOKKEEPER,1,RandomForest,BestFirst,none,none,0.385,0.061,0.575,0.062,0.106
BOOKKEEPER,1,NaiveBayes,BestFirst,none,none,0.290,0.163,0.637,0.097,0.208
BOOKKEEPER,1,IBk,BestFirst,none,none,0.406,0.080,0.554,0.082,0.133
BOOKKEEPER,1,RandomForest,none,SMOTE,none,0.253,0.067,0.540,0.037,0.107
BOOKKEEPER,1,NaiveBayes,none,SMOTE,none,0.237,0.439,0.608,0.109,0.308
BOOKKEEPER,1,IBk,none,SMOTE,none,0.214,0.215,0.544,0.052,0.214
BOOKKEEPER,1,RandomForest,none,none,SensitiveThreshold,0.201,0.089,0.521,0.021,0.123
BOOKKEEPER,1,NaiveBayes,none,none,SensitiveThreshold,0.271,0.215,0.596,0.104,0.240
BOOKKEEPER,1,IBk,none,none,SensitiveThreshold,0.148,0.083,0.522,-0.019,0.106
BOOKKEEPER,2,RandomForest,none,none,none,0.157,0.154,0.664,0.131,0.156
BOOKKEEPER,2,NaiveBayes,none,none,none,0.141,0.495,0.853,0.184,0.220
BOOKKEEPER,2,IBk,none,none,none,0.075,0.187,0.484,0.070,0.107
BOOKKEEPER,2,RandomForest,BestFirst,none,none,0.096,0.110,0.719,0.075,0.103
BOOKKEEPER,2,NaiveBayes,BestFirst,none,none,0.121,0.154,0.830,0.107,0.135
BOOKKEEPER,2,IBk,BestFirst,none,none,0.089,0.099,0.689,0.066,0.094
BOOKKEEPER,2,RandomForest,none,SMOTE,none,0.044,0.242,0.617,0.028,0.075
BOOKKEEPER,2,NaiveBayes,none,SMOTE,none,0.116,0.670,0.852,0.158,0.198
BOOKKEEPER,2,IBk,none,SMOTE,none,0.050,0.374,0.572,0.040,0.088
BOOKKEEPER,2,RandomForest,none,none,SensitiveThreshold,0.035,0.352,0.591,0.013,0.064
BOOKKEEPER,2,NaiveBayes,none,none,SensitiveThreshold,0.117,0.670,0.853,0.158,0.199
BOOKKEEPER,2,IBk,none,none,SensitiveThreshold,0.023,0.209,0.484,-0.010,0.041
BOOKKEEPER,3,RandomForest,none,none,none,0.006,0.010,0.645,-0.024,0.008
BOOKKEEPER,3,NaiveBayes,none,none,none,0.103,0.237,0.778,0.113,0.143
BOOKKEEPER,3,IBk,none,none,none,0.045,0.134,0.450,0.032,0.068
BOOKKEEPER,3,RandomForest,BestFirst,none,none,0.050,0.093,0.641,0.034,0.065
BOOKKEEPER,3,NaiveBayes,BestFirst,none,none,0.109,0.258,0.775,0.123,0.153
BOOKKEEPER,3,IBk,BestFirst,none,none,0.058,0.134,0.435,0.049,0.081
BOOKKEEPER,3,RandomForest,none,SMOTE,none,0.010,0.082,0.530,-0.028,0.017
BOOKKEEPER,3,NaiveBayes,none,SMOTE,none,0.093,0.361,0.732,0.114,0.148
BOOKKEEPER,3,IBk,none,SMOTE,none,0.023,0.247,0.459,-0.002,0.042
BOOKKEEPER,3,RandomForest,none,none,SensitiveThreshold,0.018,0.186,0.549,-0.012,0.033
BOOKKEEPER,3,NaiveBayes,none,none,SensitiveThreshold,0.102,0.340,0.778,0.125,0.158
BOOKKEEPER,3,IBk,none,none,SensitiveThreshold,0.019,0.216,0.450,-0.010,0.035
BOOKKEEPER,4,RandomForest,none,none,none,0.327,0.213,0.792,0.247,0.258
BOOKKEEPER,4,NaiveBayes,none,none,none,0.075,0.227,0.766,0.088,0.113
BOOKKEEPER,4,IBk,none,none,none,0.230,0.267,0.642,0.232,0.247
BOOKKEEPER,4,RandomForest,BestFirst,none,none,0.303,0.133,0.713,0.176,0.185
BOOKKEEPER,4,NaiveBayes,BestFirst,none,none,0.065,0.187,0.751,0.072,0.097
BOOKKEEPER,4,IBk,BestFirst,none,none,0.224,0.173,0.563,0.183,0.195
BOOKKEEPER,4,RandomForest,none,SMOTE,none,0.085,0.267,0.668,0.105,0.129
BOOKKEEPER,4,NaiveBayes,none,SMOTE,none,0.066,0.320,0.752,0.083,0.110
BOOKKEEPER,4,IBk,none,SMOTE,none,0.074,0.307,0.627,0.093,0.119
BOOKKEEPER,4,RandomForest,none,none,SensitiveThreshold,0.077,0.333,0.720,0.099,0.125
BOOKKEEPER,4,NaiveBayes,none,none,SensitiveThreshold,0.072,0.293,0.766,0.090,0.116
BOOKKEEPER,4,IBk,none,none,SensitiveThreshold,0.075,0.373,0.642,0.098,0.125
